shinchou,taiju,father,mother,tsugaku,arbeit,tv,jugyou,ketsueki,yakyu,shimai,tabako,jitaku,menkyo,car,koibito,seibetsu
165,54,165,158,40,6,180,3,a,9,1,0,0,1,0,1,1
174,56,170,150,50,4,30,3,b,5,1,0,1,1,0,0,1
169,59,161,161,65,6,30,3,a,4,1,0,0,1,0,1,1
175,66,172,156,100,0,60,4,a,1,0,0,1,1,1,0,1
167,53,170,155,40,8,60,3,a,1,1,0,1,1,1,1,1
174,58,170,158,75,6,120,3,o,1,0,1,1,1,1,1,1
175,65,170,160,50,0,150,2,a,3,1,0,1,0,0,0,1
173,65,172,155,30,5,180,4,a,3,1,1,0,1,0,0,1
170,61,174,152,75,7,5,4,o,4,1,1,1,1,1,0,1
172,62,159,157,80,2,0,3,a,12,1,1,1,1,1,1,1
168,53,165,158,40,0,60,3,a,12,1,0,1,1,0,0,1
173,73,168,153,6,1,2,2,ab,3,0,0,0,1,0,1,1
165,51,167,155,40,16,90,2,b,6,1,0,0,0,0,0,1
170,70,160,155,10,0,180,3,a,1,0,0,0,1,0,0,1
175,62,170,155,60,12,60,3,o,1,1,1,1,1,1,0,1
174,62,170,153,50,3,30,3,o,1,0,0,0,1,0,0,1
170,51,172,158,55,1,60,5,o,5,1,0,1,1,1,0,1
174,65,173,160,30,30,10,1,a,1,1,0,1,0,0,0,1
170,62,163,160,85,15,60,5,a,6,1,0,1,1,1,1,1
170,68,165,155,90,2,120,3,a,3,0,0,1,1,0,0,1
160,48,165,153,50,8,20,4,ab,4,0,0,1,1,0,0,1
175,65,170,165,40,2,60,3,b,4,0,0,0,1,0,1,1
173,58,170,153,40,0,60,4,ab,2,1,0,0,0,0,1,1
168,52,170,155,60,15,60,4,b,8,0,0,1,1,1,0,1
166,60,165,153,115,5,120,5,ab,11,1,0,1,1,1,0,1
169,60,165,150,60,15,60,1,a,13,0,0,1,1,1,0,1
167,58,165,156,35,6,80,4,a,4,1,1,1,0,0,0,1
183,80,170,168,20,6,90,3,a,6,0,0,0,0,0,0,1
170,65,170,150,60,10,30,4,o,13,1,1,1,0,0,0,1
172,58,168,160,40,4,60,4,a,1,1,0,0,1,0,0,1
178,66,175,158,10,0,30,3,o,6,1,0,0,0,0,1,1
175,60,159,155,15,0,5,2,a,4,1,0,0,1,0,1,1
171,74,170,149,50,8,10,1,o,3,0,0,1,1,1,0,1
177,59,168,166,155,10,900,5,a,3,0,1,0,1,1,1,1
166,63,160,150,30,5,90,3,o,4,0,1,1,0,0,1,1
187,63,170,165,25,1,300,4,o,9,0,0,1,0,1,1,1
